,/gpu-intel/0xA7A1/power/0
Time,GPU Package
14:58:53,4.838784
14:58:54,9.706609
14:58:55,6.62171364
14:58:56,4.106128
14:58:57,3.89884949
14:58:58,5.15796947
14:58:59,4.526949
14:59:00,2.76362062
14:59:01,3.45743537
14:59:02,3.892073
14:59:03,4.670679
14:59:04,3.859409
14:59:05,6.869311
14:59:06,1.67093825
14:59:07,2.54312086
14:59:08,5.439791
14:59:09,6.962226
14:59:10,9.562254
14:59:11,1.82896817
14:59:12,1.51254773
14:59:13,1.98186088
14:59:14,5.24762154
14:59:15,7.152823
14:59:16,3.66326642
14:59:17,3.7326684
14:59:18,3.82610154
14:59:19,6.87578058
14:59:20,2.64155912
14:59:21,1.542783
14:59:22,1.74288654
14:59:23,1.63747466
14:59:24,1.79987025
14:59:25,1.85563314
14:59:26,1.69878209
14:59:27,1.51967108
14:59:29,1.70896351
14:59:30,4.13181353
14:59:31,6.038541
14:59:32,1.62772977
14:59:33,1.55360079
14:59:34,2.48890471
14:59:35,8.518299
14:59:37,12.7199373
14:59:39,4.483128
14:59:40,1.87721837
14:59:41,9.30079
14:59:42,4.508686
14:59:43,5.87988138
14:59:44,10.3566532
14:59:45,2.69818044
14:59:46,7.8239646
14:59:47,4.188514
14:59:48,7.88615561
14:59:49,11.9421692
14:59:50,19.199152
14:59:51,3.27584934
14:59:52,3.077712
14:59:53,2.43753576
14:59:54,2.73794436
14:59:55,2.63453031
14:59:56,1.87272966
14:59:57,1.91565144
14:59:58,1.51165581
14:59:59,1.46954417
15:00:00,3.07732081
15:00:01,5.92734241
15:00:02,2.81698823
15:00:03,3.19673753
15:00:04,3.13181448
15:00:05,3.00985169
15:00:06,2.93948126
15:00:07,2.62675023
15:00:08,2.37968063
15:00:09,1.52364063
15:00:10,1.45170093
15:00:11,1.52824533
15:00:12,1.47092474
15:00:13,1.25131416
15:00:14,2.21054935
15:00:15,3.40343642
15:00:16,1.296652
15:00:17,1.43945134
15:00:18,1.23533762
15:00:19,1.61253667
15:00:20,3.64246154
15:00:21,15.3173809
15:00:22,5.902606
15:00:23,1.74959338
15:00:24,2.51118731
15:00:25,5.246404
15:00:26,4.288385
15:00:27,2.944437
15:00:28,2.579132
15:00:29,1.95165324
15:00:30,3.1231842
15:00:31,5.885165
15:00:32,7.20783329
15:00:33,1.67505276
15:00:34,2.34610486
15:00:35,1.75046372
15:00:36,1.93224132
15:00:37,2.06632328
15:00:38,9.250814
15:00:39,5.54007244
15:00:40,6.72207975
15:00:41,13.286685
15:00:42,11.20965
15:00:43,14.3327742
15:00:44,7.528223
15:00:45,12.3152046
15:00:46,14.7645788
15:00:47,16.2073345
15:00:48,15.7468653
15:00:49,16.0033989
15:00:50,15.3856363
15:00:51,17.56864
15:00:52,16.7137012
15:00:53,17.0137386
15:00:54,16.86421
15:00:55,16.7199364
15:00:56,16.60709
15:00:57,16.5522671
15:00:58,16.3044281
15:00:59,16.77415
15:01:00,16.4109764
15:01:01,16.4411011
15:01:02,16.37869
15:01:03,17.0697
15:01:04,16.3981934
15:01:05,17.5628834
15:01:06,16.8649387
15:01:07,17.2371082
15:01:08,17.1921787
15:01:09,16.90991
15:01:10,17.4104214
15:01:11,17.4261742
15:01:12,17.0216961
15:01:13,17.4405136
15:01:14,17.7295132
15:01:15,17.9628258
15:01:16,17.48672
15:01:17,17.5458775
15:01:18,17.3336411
15:01:19,17.60271
15:01:20,17.586195
15:01:21,17.1264038
15:01:22,16.6467953
15:01:23,16.8322849
15:01:24,16.8524742
15:01:25,16.6925869
15:01:26,16.29451
15:01:27,17.7989483
15:01:28,17.2589512
15:01:29,17.5177536
15:01:30,17.3993168
15:01:31,17.3958416
15:01:32,17.9922657
15:01:33,17.86105
15:01:34,18.0652733
15:01:35,17.8652344
15:01:36,17.7884388
15:01:37,17.65737
15:01:38,17.4756088
15:01:39,17.46615
15:01:40,17.4599648
15:01:41,17.8637581
15:01:42,17.4279251
15:01:43,17.42696
15:01:44,17.8928165
15:01:45,17.5548439
15:01:46,17.4493828
15:01:47,17.2233753
15:01:48,17.6726685
15:01:49,17.0178413
15:01:50,17.0546665
15:01:51,17.3286781
15:01:52,17.9165878
15:01:53,17.7032623
15:01:54,17.5856
15:01:55,17.7006111
15:01:56,17.9288635
15:01:57,17.0889359
15:01:58,17.45798
15:01:59,16.7302914
15:02:00,17.5508728
15:02:01,17.6639442
15:02:02,17.4746513
15:02:03,17.2052212
15:02:05,17.3696384
15:02:06,17.75283
15:02:08,17.1861763
15:02:10,17.47837
15:02:12,17.5842648
15:02:13,17.9293118
15:02:14,17.374136
15:02:15,17.89878
15:02:16,17.3182354
15:02:17,17.0355377
15:02:18,17.0248241
15:02:19,17.5233231
15:02:20,17.24575
15:02:21,17.4489956
15:02:22,17.6949787
15:02:23,18.0522823
15:02:24,17.7852173
15:02:25,17.5781765
15:02:26,17.2366962
15:02:27,17.8334637
15:02:28,17.6688
15:02:29,17.5196857
15:02:30,17.7332726
15:02:31,17.8827972
15:02:32,18.417345
15:02:33,17.8640232
15:02:34,17.7647724
15:02:35,17.897047
15:02:36,18.1934319
15:02:37,18.0748482
15:02:38,18.0984077
15:02:39,17.6090527
15:02:40,16.3423882
15:02:41,16.6978836
15:02:42,15.4216614
15:02:43,16.0653
15:02:44,15.6577711
15:02:45,15.5180979
15:02:46,16.0989952
15:02:47,15.250329
15:02:48,16.0351944
15:02:49,16.4087849
15:02:50,16.6454
15:02:51,17.54286
15:02:52,17.59792
15:02:53,17.6952667
15:02:54,17.6175022
15:02:55,17.5544071
15:02:56,17.04051
15:02:57,17.5743923
15:02:58,18.0692425
15:02:59,17.2421875
15:03:00,17.80037
15:03:01,17.4125633
15:03:02,17.7830963
15:03:03,17.4503632
15:03:04,18.6226254
15:03:05,18.1977482
15:03:06,18.3187618
15:03:07,18.13164
15:03:08,18.1585064
15:03:09,17.77201
15:03:10,17.691988
15:03:11,17.4450169
15:03:12,17.9278145
15:03:13,17.7625885
15:03:14,17.60216
15:03:15,18.1695728
15:03:16,18.182518
15:03:17,17.6240349
15:03:18,17.6272659
15:03:19,17.9474068
15:03:20,17.6871452
15:03:21,18.0676651
15:03:22,18.3245449
15:03:23,18.0567913
15:03:24,18.31656
15:03:25,18.4060116
15:03:26,17.356451
15:03:27,17.56544
15:03:28,17.9902039
15:03:29,17.5963383
15:03:30,18.2376347
15:03:31,17.8732967
15:03:32,18.0464935
15:03:33,17.6360683
15:03:34,17.7655525
15:03:35,17.7080956
15:03:36,17.2367935
15:03:37,17.9860935
15:03:38,18.17742
15:03:39,18.67848
15:03:40,19.0933723
15:03:41,17.4661427
15:03:42,17.9270878
15:03:43,17.7283535
15:03:44,17.3750648
15:03:45,17.6515789
15:03:46,18.0461521
15:03:47,17.4251671
15:03:48,17.8194752
15:03:49,17.7290134
15:03:50,17.8497429
15:03:51,17.537714
15:03:52,17.6513634
15:03:53,17.1577511
15:03:54,17.96063
15:03:55,17.7163887
15:03:56,17.4557838
15:03:57,17.6349182
15:03:58,18.0180073
15:03:59,17.6580982
15:04:00,17.8504944
15:04:01,17.4645233
15:04:02,17.9834862
15:04:03,17.905859
15:04:04,17.82404
15:04:05,17.7464161
15:04:06,17.4771481
15:04:07,17.2422943
15:04:08,17.772
15:04:09,17.97139
15:04:10,17.6583538
15:04:11,17.856739
15:04:12,17.6400185
15:04:13,17.2591457
15:04:14,17.8063622
15:04:15,18.1920872
15:04:16,16.98545
15:04:17,17.5016041
15:04:18,17.684248
15:04:19,17.7470245
15:04:20,17.80119
15:04:21,17.7600937
15:04:22,17.65179
15:04:23,17.8434658
15:04:24,17.9593048
15:04:25,17.7717915
15:04:26,17.599947
15:04:27,17.6847553
15:04:28,17.30923
15:04:29,17.4669533
15:04:30,17.7920418
15:04:31,17.93412
15:04:32,17.736927
15:04:33,17.7590084
15:04:34,17.67171
15:04:35,17.7893353
15:04:36,18.2214718
15:04:37,15.9699879
15:04:38,15.5620365
15:04:39,15.6854343
15:04:40,16.1950684
15:04:41,16.5887756
15:04:42,16.4792976
15:04:43,15.5385876
15:04:44,16.1297245
15:04:45,15.7554178
15:04:46,17.576252
15:04:47,17.6527157
15:04:48,17.55291
15:04:49,17.2854862
15:04:50,17.9192829
15:04:51,17.9152374
15:04:52,17.4388561
15:04:53,17.415163
15:04:54,17.3726349
15:04:55,17.0205727
15:04:56,17.2541428
15:04:58,17.5220737
15:04:59,17.3578987
15:05:00,17.0065479
15:05:01,17.618969
15:05:02,16.9729767
15:05:03,17.28874
15:05:04,17.5768948
15:05:05,17.71812
15:05:06,17.0432587
15:05:07,18.3969212
15:05:08,17.4819813
15:05:09,17.305069
15:05:10,17.78322
15:05:11,17.5991344
15:05:12,17.5023
15:05:13,17.4335213
15:05:14,17.7753525
15:05:15,17.5331459
15:05:16,17.47395
15:05:17,16.7812557
15:05:18,17.0596523
15:05:19,17.8406467
15:05:20,17.4692326
15:05:21,17.31419
15:05:22,17.77882
15:05:23,17.59449
15:05:24,17.3516426
15:05:25,17.6454086
15:05:26,17.1931686
15:05:27,17.9775944
15:05:28,18.4663
15:05:29,17.62886
15:05:30,18.3952637
15:05:31,17.8118362
15:05:33,17.8943958
15:05:35,17.866972
15:05:36,18.2939148
15:05:37,17.4509048
15:05:38,17.50407
15:05:39,18.2404976
15:05:40,17.428793
15:05:41,18.3593731
15:05:42,17.7616959
15:05:43,18.3559647
15:05:44,17.6647167
15:05:45,17.5888958
15:05:46,18.3927174
15:05:47,17.5078754
15:05:48,17.8526134
15:05:49,18.0385284
