,/gpu-intel/0xA7A1/power/0
Time,GPU Package
15:42:45,8.422326
15:42:46,9.824916
15:42:47,11.65976
15:42:49,12.43367
15:42:50,10.3762474
15:42:51,12.0496635
15:42:52,16.4608917
15:42:53,22.5729465
15:42:55,12.5821667
15:42:56,11.2803087
15:42:57,10.5275831
15:42:58,12.3380575
15:42:59,11.2134352
15:43:00,12.1431885
15:43:01,11.7120886
15:43:02,13.0678415
15:43:03,11.6093807
15:43:04,11.30194
15:43:05,12.4227991
15:43:06,12.0701246
15:43:07,10.9332132
15:43:08,10.7528591
15:43:09,11.3320646
15:43:10,11.9590607
15:43:11,11.4994612
15:43:12,12.2271891
15:43:13,11.8697662
15:43:14,10.9662533
15:43:15,11.1975012
15:43:16,13.3022785
15:43:17,11.8780775
15:43:18,9.791721
15:43:19,13.0134039
15:43:20,11.4556408
15:43:21,11.2307959
15:43:22,9.426884
15:43:23,12.0270844
15:43:24,12.6721277
15:43:25,11.2708817
15:43:26,12.1213932
15:43:27,10.169919
15:43:28,12.4688368
15:43:29,11.87796
15:43:30,11.5321283
15:43:31,11.2707319
15:43:32,11.7320709
15:43:33,10.4520187
15:43:34,11.4690886
15:43:35,12.5503445
15:43:36,10.2381668
15:43:37,13.6276093
15:43:38,10.2547112
15:43:39,10.1083384
15:43:40,12.2843075
15:43:42,12.319211
15:43:43,10.86355
15:43:44,12.5826731
15:43:45,8.283542
15:43:46,10.46284
15:43:47,12.1432953
15:43:48,10.2135315
15:43:49,8.849144
15:43:50,9.467671
15:43:51,9.976995
15:43:52,13.8034887
15:43:53,18.7727566
15:43:54,9.947814
15:43:55,10.6540833
15:43:56,12.2050524
15:43:57,11.9830112
15:43:58,12.1983471
15:43:59,12.3320007
15:44:01,10.3549671
15:44:02,12.6887054
15:44:03,7.089887
15:44:04,8.1009655
15:44:05,9.607629
15:44:06,6.8561
15:44:07,12.6878862
15:44:08,19.4547825
15:44:09,18.7518673
15:44:10,15.9421968
15:44:11,11.6562223
15:44:12,10.35427
15:44:13,12.2976446
15:44:14,12.4651508
15:44:15,11.5011005
15:44:16,12.0035048
15:44:17,12.9435778
15:44:18,11.1532526
15:44:19,11.92046
15:44:20,11.2499666
15:44:21,11.5272169
15:44:22,11.4444933
15:44:23,11.4270515
15:44:24,11.3295269
15:44:25,11.9092026
15:44:26,12.02482
15:44:27,11.3202724
15:44:28,11.9800768
15:44:29,11.40887
15:44:30,12.3584709
15:44:31,12.1747084
15:44:32,12.177063
15:44:33,11.7735462
15:44:34,11.7956018
15:44:35,12.3363628
15:44:36,11.7246952
15:44:37,12.20023
15:44:38,11.9768028
15:44:39,11.6846609
15:44:40,11.724493
15:44:41,12.0479116
15:44:42,12.1126509
15:44:43,12.2925062
15:44:44,11.7126694
15:44:45,11.8356972
15:44:46,12.10778
15:44:47,12.220644
15:44:48,12.4414263
15:44:49,11.956522
15:44:50,11.9663658
15:44:51,11.6227455
15:44:52,12.2808084
15:44:53,12.4632406
15:44:54,12.08336
15:44:55,11.9062738
15:44:56,12.0341959
15:44:57,12.0313826
15:44:58,11.7792768
15:44:59,11.7076864
15:45:00,12.02575
15:45:01,12.0298271
15:45:02,11.901083
15:45:03,12.12832
15:45:04,11.9001646
15:45:05,12.2160759
15:45:06,11.9760485
15:45:07,11.9094391
15:45:08,12.053236
15:45:09,12.1696987
15:45:10,12.01739
15:45:11,11.7763767
